grid_row,grid_col,counts
6619,260,5
6619,261,4
6619,262,6
6619,263,29
6619,264,59
6619,265,25
6619,266,2
6619,267,5
6619,268,1
6619,270,17
6619,271,3
6619,273,1
6619,300,1
6619,302,8
6619,305,1
6620,253,4
6620,254,218
6620,255,10
6620,256,5
6620,257,15
6620,258,2
6620,259,9
6620,260,32
6620,261,11
6620,262,284
6620,263,291
6620,264,28
6620,265,35
6620,266,1
6620,267,3
6620,268,3
6620,269,8
6620,270,8
6620,271,32
6620,272,1
6620,273,2
6620,301,4
6620,302,13
6620,303,1
6620,304,3
6620,305,6
6621,253,326
6621,254,415
6621,255,180
6621,256,14
6621,257,2
6621,258,34
6621,259,39
6621,260,114
6621,261,98
6621,262,293
6621,263,720
6621,264,151
6621,265,1
6621,266,3
6621,267,11
6621,268,10
6621,269,5
6621,270,4
6621,271,15
6621,272,1
6621,273,8
6621,298,1
6621,299,3
6621,300,1
6621,301,2
6622,252,1
6622,253,422
6622,254,609
6622,255,350
6622,256,4
6622,257,6
6622,259,4
6622,260,17
6622,261,11
6622,262,45
6622,263,138
6622,264,53
6622,265,9
6622,267,22
6622,268,251
6622,269,2
6622,270,4
6622,271,9
6622,286,6
6622,297,1
6622,298,8
6622,300,7
6622,301,1
6622,304,3
6623,251,3
6623,253,160
6623,254,21
6623,255,355
6623,256,17
6623,257,1
6623,258,3
6623,259,9
6623,260,21
6623,261,2
6623,262,7
6623,263,6
6623,264,21
6623,265,6
6623,266,1
6623,267,16
6623,268,72
6623,270,2
6623,276,2
6623,277,7
6623,280,1
6623,298,2
6623,299,1
6623,301,1
6623,303,2
6623,305,4
6624,253,23
6624,254,17
6624,255,330
6624,256,55
6624,257,12
6624,258,22
6624,259,26
6624,260,6
6624,261,12
6624,262,15
6624,263,12
6624,264,23
6624,265,3
6624,266,1
6624,267,1
6624,268,6
6624,269,8
6624,270,6
6624,271,2
6624,277,13
6624,281,2
6624,285,2
6624,286,17
6624,297,1
6624,298,1
6624,299,2
6624,300,10
6624,301,1
6624,302,1
6624,305,1
6624,306,1
6624,307,1
6624,310,2
6625,252,3
6625,253,16
6625,254,19
6625,255,37
6625,258,8
6625,259,18
6625,260,11
6625,261,6
6625,262,12
6625,263,26
6625,265,6
6625,266,48
6625,267,5
6625,268,5
6625,269,3
6625,270,5
6625,277,6
6625,280,18
6625,281,10
6625,282,7
6625,283,5
6625,285,7
6625,286,5
6625,297,12
6625,298,6
6625,299,4
6625,300,206
6625,301,61
6625,302,6
6625,303,2
6625,306,1
6625,309,1
6625,310,1
6626,252,14
6626,253,28
6626,254,19
6626,255,42
6626,256,3
6626,257,2
6626,258,4
6626,260,38
6626,261,23
6626,262,15
6626,263,6
6626,264,61
6626,265,390
6626,266,441
6626,267,23
6626,268,7
6626,269,1
6626,270,6
6626,277,3
6626,278,22
6626,279,5
6626,280,11
6626,281,6
6626,282,2
6626,284,1
6626,285,12
6626,286,1
6626,287,2
6626,297,5
6626,298,14
6626,299,5
6626,300,1
6626,301,9
6626,302,1
6626,310,3
6626,311,4
6627,252,6
6627,253,10
6627,254,5
6627,255,8
6627,256,14
6627,259,43
6627,261,2
6627,262,38
6627,263,297
6627,264,507
6627,265,1464
6627,266,580
6627,267,128
6627,268,2
6627,270,5
6627,275,2
6627,276,1
6627,277,273
6627,278,90
6627,279,28
6627,280,16
6627,281,54
6627,283,4
6627,284,8
6627,286,2
6627,297,2
6627,298,1
6627,299,3
6627,301,11
6627,302,1
6627,310,1
6627,311,10
6628,252,20
6628,253,12
6628,254,4
6628,256,30
6628,257,3
6628,258,16
