grid_row,grid_col,probability,hour
6604.0,255.0,3.6785628949884084e-06,1.0
6604.0,255.0,3.291878845936344e-06,2.0
6604.0,255.0,3.0380615810731888e-06,3.0
6604.0,255.0,2.456545969555747e-06,4.0
6604.0,255.0,2.331722690239252e-06,5.0
6604.0,255.0,2.4800806689972872e-06,6.0
6604.0,255.0,3.127731765021326e-06,7.0
6604.0,255.0,4.5144915865447315e-06,8.0
6604.0,255.0,5.72280476293548e-06,9.0
6604.0,255.0,6.510174517669402e-06,10.0
6604.0,255.0,6.5918011967451025e-06,11.0
6604.0,255.0,6.217629266383474e-06,12.0
6604.0,255.0,6.581672338757605e-06,13.0
6604.0,255.0,6.401140340509879e-06,14.0
6604.0,255.0,5.9298505365034255e-06,15.0
6604.0,255.0,6.119319762387185e-06,16.0
6604.0,255.0,5.920913308867404e-06,17.0
6604.0,255.0,5.910486543292038e-06,18.0
6604.0,255.0,6.0025399879431034e-06,19.0
6604.0,255.0,5.995092298246416e-06,20.0
6604.0,255.0,5.924190292333938e-06,21.0
6604.0,255.0,4.972673456685011e-06,22.0
6604.0,255.0,4.513597863781124e-06,23.0
6604.0,256.0,2.0739591006062343e-05,0.0
6604.0,256.0,1.8627616361860496e-05,1.0
6604.0,256.0,1.666951415602193e-05,2.0
6604.0,256.0,1.5384226729693316e-05,3.0
6604.0,256.0,1.2439530654348995e-05,4.0
6604.0,256.0,1.1807446814405747e-05,5.0
6604.0,256.0,1.2558706366414693e-05,6.0
6604.0,256.0,1.5838301278196753e-05,7.0
6604.0,256.0,2.286061697016796e-05,8.0
6604.0,256.0,2.8979309225084227e-05,9.0
6604.0,256.0,3.296641564267394e-05,10.0
6604.0,256.0,3.3379759251610564e-05,11.0
6604.0,256.0,3.1485016285098054e-05,12.0
6604.0,256.0,3.33284684388228e-05,13.0
6604.0,256.0,3.241428512854687e-05,14.0
6604.0,256.0,3.0027753780598743e-05,15.0
6604.0,256.0,3.098719369039332e-05,16.0
6604.0,256.0,2.998249718108016e-05,17.0
6604.0,256.0,2.9929697814975102e-05,18.0
6604.0,256.0,3.0395840790016775e-05,19.0
6604.0,256.0,3.0358126957084602e-05,20.0
6604.0,256.0,2.9999091267570275e-05,21.0
6604.0,256.0,2.518077197215544e-05,22.0
6604.0,256.0,2.2856091310216074e-05,23.0
6604.0,257.0,6.971291094475725e-07,0.0
