grid_row,grid_col,probability
6619,268,2.5176297019881722e-06
6619,270,4.279970493379893e-05
6619,271,7.552889105964516e-06
6619,273,2.5176297019881722e-06
6619,300,2.5176297019881722e-06
6619,302,2.0141037615905378e-05
6619,305,2.5176297019881722e-06
6620,253,1.0070518807952689e-05
6620,254,0.0005488432750334215
6620,255,2.5176297019881723e-05
6620,256,1.2588148509940862e-05
6620,257,3.776444552982258e-05
6620,258,5.0352594039763445e-06
6620,259,2.265866731789355e-05
6620,260,8.056415046362151e-05
6620,261,2.7693926721869894e-05
6620,262,0.0007150068353646409
6620,263,0.0007326302432785581
6620,264,7.049363165566881e-05
6620,265,8.811703956958602e-05
6620,266,2.5176297019881722e-06
6620,267,7.552889105964516e-06
6620,268,7.552889105964516e-06
6620,269,2.0141037615905378e-05
6620,270,2.0141037615905378e-05
6620,271,8.056415046362151e-05
6620,272,2.5176297019881722e-06
6620,273,5.0352594039763445e-06
6620,301,1.0070518807952689e-05
6620,302,3.272918612584624e-05
6620,303,2.5176297019881722e-06
6620,304,7.552889105964516e-06
6620,305,1.5105778211929033e-05
6621,253,0.0008207472828481441
6621,254,0.0010448163263250914
6621,255,0.000453173346357871
6621,256,3.524681582783441e-05
6621,257,5.0352594039763445e-06
6621,258,8.559940986759786e-05
6621,259,9.818755837753872e-05
6621,260,0.0002870097860266516
6621,261,0.00024672771079484087
6621,262,0.0007376655026825345
6621,263,0.001812693385431484
6621,264,0.000380162085000214
6621,265,2.5176297019881722e-06
6621,266,7.552889105964516e-06
6621,267,2.7693926721869894e-05
6621,268,2.5176297019881723e-05
6621,269,1.2588148509940862e-05
6621,270,1.0070518807952689e-05
6621,271,3.776444552982258e-05
6621,272,2.5176297019881722e-06
6621,273,2.0141037615905378e-05
6621,298,2.5176297019881722e-06
6621,299,7.552889105964516e-06
6621,300,2.5176297019881722e-06
6621,301,5.0352594039763445e-06
6622,252,2.5176297019881722e-06
6622,253,0.0010624397342390087
6622,254,0.0015332364885107968
6622,255,0.0008811703956958602
6622,256,1.0070518807952689e-05
6622,257,1.5105778211929033e-05
6622,259,1.0070518807952689e-05
6622,260,4.279970493379893e-05
6622,261,2.7693926721869894e-05
6622,262,0.00011329333658946775
6622,263,0.00034743289887436774
6622,264,0.00013343437420537313
6622,265,2.265866731789355e-05
6622,267,5.538785344373979e-05
6622,268,0.0006319250551990312
6622,269,5.0352594039763445e-06
6622,270,1.0070518807952689e-05
6622,271,2.265866731789355e-05
6622,286,1.5105778211929033e-05
6622,297,2.5176297019881722e-06
6622,298,2.0141037615905378e-05
6622,300,1.7623407913917204e-05
6622,301,2.5176297019881722e-06
6622,304,7.552889105964516e-06
6623,251,7.552889105964516e-06
6623,253,0.0004028207523181076
6623,254,5.2870223741751614e-05
6623,255,0.0008937585442058011
6623,256,4.279970493379893e-05
6623,257,2.5176297019881722e-06
6623,258,7.552889105964516e-06
6623,259,2.265866731789355e-05
6623,260,5.2870223741751614e-05
6623,261,5.0352594039763445e-06
6623,262,1.7623407913917204e-05
6623,263,1.5105778211929033e-05
6623,264,5.2870223741751614e-05
6623,265,1.5105778211929033e-05
6623,266,2.5176297019881722e-06
6623,267,4.0282075231810756e-05
6623,268,0.0001812693385431484
6623,270,5.0352594039763445e-06
6623,276,5.0352594039763445e-06
6623,277,1.7623407913917204e-05
6623,280,2.5176297019881722e-06
6623,298,5.0352594039763445e-06
6623,299,2.5176297019881722e-06
6623,301,2.5176297019881722e-06
6623,303,5.0352594039763445e-06
6623,305,1.0070518807952689e-05
6624,253,5.790548314572796e-05
6624,254,4.279970493379893e-05
6624,255,0.0008308178016560968
6624,256,0.00013846963360934948
6624,257,3.0211556423858065e-05
6624,258,5.538785344373979e-05
6624,259,6.545837225169248e-05
6624,260,1.5105778211929033e-05
6624,261,3.0211556423858065e-05
6624,262,3.776444552982258e-05
6624,263,3.0211556423858065e-05
6624,264,5.790548314572796e-05
6624,265,7.552889105964516e-06
6624,266,2.5176297019881722e-06
6624,267,2.5176297019881722e-06
6624,268,1.5105778211929033e-05
6624,269,2.0141037615905378e-05
6624,270,1.5105778211929033e-05
6624,271,5.0352594039763445e-06
6624,277,3.272918612584624e-05
6624,281,5.0352594039763445e-06
6624,285,5.0352594039763445e-06
6624,286,4.279970493379893e-05
6624,297,2.5176297019881722e-06
6624,298,2.5176297019881722e-06
6624,299,5.0352594039763445e-06
6624,300,2.5176297019881723e-05
6624,301,2.5176297019881722e-06
6624,302,2.5176297019881722e-06
6624,305,2.5176297019881722e-06
6624,306,2.5176297019881722e-06
6624,307,2.5176297019881722e-06
6624,310,5.0352594039763445e-06
6625,252,7.552889105964516e-06
6625,253,4.0282075231810756e-05
6625,254,4.783496433777527e-05
6625,255,9.315229897356237e-05
6625,258,2.0141037615905378e-05
6625,259,4.53173346357871e-05
6625,260,2.7693926721869894e-05
6625,261,1.5105778211929033e-05
6625,262,3.0211556423858065e-05
6625,263,6.545837225169248e-05
6625,265,1.5105778211929033e-05
6625,266,0.00012084622569543226
6625,267,1.2588148509940862e-05
6625,268,1.2588148509940862e-05
6625,269,7.552889105964516e-06
6625,270,1.2588148509940862e-05
6625,277,1.5105778211929033e-05
6625,280,4.53173346357871e-05
