time_call_received,triage_impression_during_call,grid_id,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-03-20 13:25:28,A,22640006621000,16,30,49,646,1180,737,1387,217
2019-03-20 13:27:30,V1,22620006651000,63,30,318,465,466,84,590,498
2019-03-20 13:31:34,A,22660006651000,70,30,63,373,3026,574,1379,1033
2019-03-20 13:33:57,V1,22640006651000,160,30,471,458,795,465,854,325
2019-03-20 13:34:40,V1,22570006653000,75,30,79,1061,1538,536,1648,715
2019-03-20 13:35:04,A,23040006670000,285,30,9,271,2883,0,0,407
2019-03-20 13:37:04,A,22780006652000,49,30,131,448,4668,411,1380,395
2019-03-20 13:41:13,H,22620006652000,37,30,161,462,1596,168,915,498
2019-03-20 13:43:58,H,22620006649000,791,30,109,237,2218,0,0,90
2019-03-20 13:47:11,H,22770006651000,219,30,11,319,1104,319,729,975
2019-03-20 13:47:53,A,22720006654000,129,30,34,520,3086,0,0,781
2019-03-20 13:48:34,A,22650006646000,168,30,116,60,1530,700,1206,1051
2019-03-20 13:49:41,A,22630006645000,105,30,50,438,3117,0,0,658
2019-03-20 13:51:53,H,22640006641000,173,30,0,304,1315,1223,567,2049
2019-03-20 13:55:28,H,22690006654000,41,30,150,195,3492,0,0,352
2019-03-20 13:57:16,H,22590006652000,38,30,6,276,1490,153,1198,230
2019-03-20 14:00:49,V1,22680006652000,42,30,493,327,2563,0,0,327
2019-03-20 14:01:57,H,22550006641000,162,30,2,1782,1452,2222,1062,1732
2019-03-20 14:03:03,A,22530006650000,109,30,81,60,988,484,971,727
2019-03-20 14:04:56,H,22630006653000,107,30,25,221,1006,221,483,90
2019-03-20 14:09:10,H,22540006631000,284,30,5,1074,1297,1375,738,1732
2019-03-20 14:09:25,A,22720006651000,40,30,78,425,2210,532,1110,395
2019-03-20 14:10:51,H,22610006653000,727,30,147,757,793,259,1323,1831
2019-03-20 14:11:07,A,22640006639000,91,30,61,257,1247,1138,971,2233
2019-03-20 14:12:41,A,22630006653000,186,30,85,221,1763,221,1668,108
